id,page_views,downloads,columns,name,description,agency,rows,link,d,r,g,b
fuzi-xuv4,9,87.0,8,2010-11 Discharge Reporting by Code - HS,"This report consist of data regarding students enrolled in New York City schools during 2010-2011 school year, following the guidelines set by Local Law 2011/042.  Reports students enrolled and events that occurred between October 31, 2010 and July 1, 2011.   Prior to October 31st, 18,953 students transferred between New York City schools, 5,200 were discharged outside of NYC schools and 3,375 dropped out or were discharged under other codes.  School level results are presented for District 79 or YABCs.",0,3957,https://data.cityofnewyork.us/d/fuzi-xuv4,0.0,1.0,1.0,1.0
qta3-sq5k,8,1.0,31,CB 106 Active Parking Lot and Garage Licenses,This data set features businesses/individuals holding a DCA license so that they may legally operate in New York City. Note: Sightseeing guides and temporary street fair vendors are not included in this data set.,Department of Consumer Affairs (DCA),158,https://data.cityofnewyork.us/d/qta3-sq5k,396.0,0.962272393509669,0.3976451968965351,0.8008274363432775
c5vm-g2dk,8,222.0,18,Parks Permit Areas,"● One line of data represents a single geographic area for which an event permit can be requested in the Citywide Event Management System (CEMS).
● Data was digitized in desktop GIS in consultation with borough permit offices.
● Data is updated when changes are requested by the borough permit offices.
● Along with this dataset, the Athetlic Facilities dataset are sent to CEMS
● Spaces not outlined in this dataset are not available for permitting",Department of Parks and Recreation (DPR),3255,https://data.cityofnewyork.us/d/c5vm-g2dk,0.0,0.9542900080364486,0.4779505175890752,0.1963917622115608
efdc-dxuz,6,153.0,4,BP Appointments - Miscellaneous Boards,This dates set represents Brooklyn Borough President's appointees to Miscellaneous Boards. Most representatives are employees of Brooklyn Borough Hall.,Brooklyn Borough President (BPBK),43,https://data.cityofnewyork.us/d/efdc-dxuz,0.0,1.0,1.0,1.0
xjtr-h2x2,26,47.0,7,Historical Medallion Drivers – Passenger Assistance Trained 2018,This list contains information on the status of current medallion drivers who had completed Passenger Assistance Training. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. To view the latest list please visit https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Passenger-Assistance-Trained/td5q-ry6d/,Taxi and Limousine Commission (TLC),66492770,https://data.cityofnewyork.us/d/xjtr-h2x2,0.0,0.6804189127793346,0.6151497514677574,0.19405452111445337
wyhw-ykq2,26,32.0,0,17th Annual Report of the Commission,"The Commission has, since its inception, and in accordance with its Executive Order, released annual reports detailing its activities for each past year. The annual reports also include follow-up reviews of recommendations made in Commission studies, including the Department's ongoing handling of off-duty misconduct cases and discipline of officers who have made false official statements.",Commission to Combat Police Corruption (CCPC),0,https://data.cityofnewyork.us/d/wyhw-ykq2,0.0,1.0,1.0,1.0
g5ah-i2sh,26,99.0,4,Internet Master Plan: Home Broadband and Mobile Broadband Adoption by PUMA,"The percentage of households that have both Home Broadband and Mobile Broadband subscriptions for each of New York City Public Use Microdata Areas.</p>
<b>Data Limitations:</b> Data accuracy is limited as of the date of publication and by the methodology and accuracy of the original sources.  The City shall not be liable for any costs related to, or in reliance of, the data contained in these datasets.",Mayor's Office of the Chief Technology Officer,55,https://data.cityofnewyork.us/d/g5ah-i2sh,0.0,1.0,1.0,1.0
ixe9-9fcq,26,62.0,0,2009 School Survey,2009 NYC School Survey,Department of Education (DOE),0,https://data.cityofnewyork.us/d/ixe9-9fcq,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
x4hu-rz9v,26,87.0,0,2011-2012 Early Childhood Progress Report,The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.,Department of Education (DOE),0,https://data.cityofnewyork.us/d/x4hu-rz9v,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
knq4-3kz9,26,76.0,4,2015-16 Guidance Counselor Post Secondary Planning,New York City Department of Education 2015-16 Guidance Counselor Post Secondary Planning data for fiscal school year.,Department of Education (DOE),578,https://data.cityofnewyork.us/d/knq4-3kz9,304.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
dggd-3jfu,26,464.0,13,Resident Economic Empowerment and Sustainability (REES) for NYCHA Residents – NYCHA Development - Local Law 163,"This dataset contains information about the New York City Housing Authority’s (NYCHA) Office of <a href=""https://www1.nyc.gov/site/nycha/residents/rees.page"">Resident Economic Empowerment and Sustainability (REES)</a>. REES supports NYCHA public housing and Section 8 residents’ increased income and assets through programs, policies and formal partnerships in the areas of employment and advancement, adult education and training, financial literacy and asset building and resident business development.   Each row in the dataset represents the number of public housing residents on a NYCHA Development-level who receive or utilize this service. Data on interagency collaborations such as Jobs-Plus and Business Pathways are not part of this data but are accounted for in NYC Business Solutions and Human Resources data respectively. As per HUD regulations REES serves NYCHA public housing, NYCHA Section 8 and Section 3 residents.

The dataset is part of the annual report compiled by the Mayor’s Office of Operations as mandated by the <a href=""https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=2745761&GUID=2A9FB1D2-A1A8-4484-9D49-6F8332171B66"">Local Law 163 of 2016</a> on different services provided to NYCHA residents. See other datasets in this report by searching the keyword “Services available to NYCHA Residents - Local Law 163 (2016)” on the Open Data Portal.",New York City Housing Authority (NYCHA),356,https://data.cityofnewyork.us/d/dggd-3jfu,0.0,0.43328034117642245,0.6065273407962816,0.9585467098271748
g3s7-2g3d,26,352.0,0,2010-2011 School Closure Discharge Reporting Grade Borough,"In June 2011, 15 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2010-2011 school year, according to the guidelines set by Local Law 2011/043.",Department of Education (DOE),0,https://data.cityofnewyork.us/d/g3s7-2g3d,0.0,0.9677975592919913,0.44127456009157356,0.5358103155058701
