id,page_views,downloads,columns,agency,d,r,g,b
fuzi-xuv4,9,87.0,8,0,379.0,0.7,0.7,0.0
qta3-sq5k,8,1.0,31,Department of Consumer Affairs (DCA),507.0,0.984313725490196,0.5019607843137255,0.4470588235294118
c5vm-g2dk,8,222.0,18,Department of Parks and Recreation (DPR),652.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
efdc-dxuz,6,153.0,4,Brooklyn Borough President (BPBK),14.0,0.7,0.7,0.0
xjtr-h2x2,26,47.0,7,Taxi and Limousine Commission (TLC),128.0,0.7019607843137254,0.8705882352941177,0.4117647058823529
wyhw-ykq2,26,32.0,0,Commission to Combat Police Corruption (CCPC),0.0,0.7,0.7,0.0
g5ah-i2sh,26,99.0,4,Mayor's Office of the Chief Technology Officer,570.0,0.7,0.7,0.0
ixe9-9fcq,26,62.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
x4hu-rz9v,26,87.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
knq4-3kz9,26,76.0,4,Department of Education (DOE),357.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
dggd-3jfu,26,464.0,13,New York City Housing Authority (NYCHA),801.0,0.7372549019607844,0.5019607843137255,0.7411764705882353
g3s7-2g3d,26,352.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
yeut-b48d,26,128.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
xhmm-58fn,26,386.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
qusa-igsv,26,93.0,9,Department of Education (DOE),209.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
mu33-54em,25,168.0,9,Department for the Aging (DFTA),64.0,0.9882352941176471,0.803921568627451,0.8980392156862745
q48k-6suv,25,11.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
6etc-vpfd,25,54.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
p5yk-zjsc,25,210.0,7,Department of Education (DOE),52.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
e635-qjv5,25,191.0,9,Department for the Aging (DFTA),64.0,0.9882352941176471,0.803921568627451,0.8980392156862745
rcdb-6tdq,25,356.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
hntz-vujg,25,359.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
v2hd-uwxx,24,91.0,7,Department of Education (DOE),630.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
x79z-q7y2,24,377.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
dpfn-5ihn,24,0.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
j7tw-gms7,24,89.0,36,Department of Education (DOE),367.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
95ii-vcsx,24,84.0,7,Department of Education (DOE),126.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
7pi4-r8u2,23,98.0,18,Department of Education (DOE),445.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
i6ds-scnc,23,104.0,3,Department of Education (DOE),517.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
dy27-rrad,23,37.0,16,Brooklyn Borough President (BPBK),721.0,0.7,0.7,0.0
gqzy-vhwd,23,368.0,5,Brooklyn Borough President (BPBK),23.0,0.7,0.7,0.0
fk5e-4bf4,23,41.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
gez6-674h,23,81.0,10,Department of Education (DOE),353.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
c3kh-heyp,23,118.0,15,Department of Transportation (DOT),7.0,0.984313725490196,0.5019607843137255,0.4470588235294118
pjwi-qd2x,22,150.0,17,Mayor's Office of the Chief Technology Officer,8.0,0.7,0.7,0.0
urc8-8bjy,22,153.0,10,Department of Education (DOE),209.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
3kx3-7svp,22,136.0,17,Mayor's Office of the Chief Technology Officer,8.0,0.7,0.7,0.0
d4cb-8mwj,21,96.0,8,Department of Education (DOE),667.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
by8q-dp62,21,143.0,7,Department of Education (DOE),660.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
igsj-fxac,21,0.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
ytjm-yias,21,110.0,8,Department of Education (DOE),123.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
c5u8-5c47,21,69.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
cgwq-3ie6,21,131.0,17,Mayor's Office of the Chief Technology Officer,226.0,0.7,0.7,0.0
28sw-qd77,21,0.0,0,Taxi and Limousine Commission (TLC),0.0,0.7019607843137254,0.8705882352941177,0.4117647058823529
rb33-zusf,20,53.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
7w73-8bcz,20,0.0,0,Department of Transportation (DOT),0.0,0.984313725490196,0.5019607843137255,0.4470588235294118
cirn-n726,20,63.0,8,Department of Education (DOE),379.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
gj2m-sgjc,20,79.0,15,Department of Education (DOE),372.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
9tnu-6rdi,20,111.0,3,Department of Education (DOE),309.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
wcpw-9chs,19,271.0,8,Mayor's Office of Management & Budget (OMB),12.0,1.0,0.9294117647058824,0.43529411764705883
jkk2-3xzd,19,68.0,6,Department of Education (DOE),251.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
xdzg-dnpg,19,288.0,6,Mayor's Office of Management & Budget (OMB),81.0,1.0,0.9294117647058824,0.43529411764705883
nmtq-hr8h,19,51.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
2vr2-vcvz,18,51.0,7,Mayor's Office of Sustainability (MOS),614.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
5mxw-kxpt,18,438.0,8,Brooklyn Borough President (BPBK),61.0,0.7,0.7,0.0
9bjg-n96a,18,115.0,17,Mayor's Office of the Chief Technology Officer,8.0,0.7,0.7,0.0
95u9-kyyu,18,49.0,7,Brooklyn Borough President (BPBK),6.0,0.7,0.7,0.0
mhpm-4ekb,17,90.0,11,Department of Education (DOE),293.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
53m8-jdtg,17,234.0,59,Department of Parks and Recreation (DPR),17.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
6pv9-jmn5,17,293.0,20,Mayor's Office of Sustainability (MOS),496.0,0.9921568627450981,0.7058823529411765,0.3843137254901961
r465-fr2q,17,333.0,20,Department of Parks and Recreation (DPR),654.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
87fc-zpp6,17,18.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
f3h8-59sn,17,55.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
q7f5-jwds,16,85.0,7,Brooklyn Borough President (BPBK),6.0,0.7,0.7,0.0
pvxf-9irb,16,58.0,23,Brooklyn Borough President (BPBK),734.0,0.7,0.7,0.0
u5vp-yxq8,16,53.0,0,Department of Education (DOE),0.0,0.5529411764705883,0.8274509803921568,0.7803921568627451
bcsx-ch6m,16,0.0,0,Department of Parks and Recreation (DPR),0.0,0.7450980392156863,0.7294117647058823,0.8549019607843137
